0 	 1	0		1	0		1	0		
0.01 	 0.999987	-0.00265094		0.999987	-0.00265094		0.999987	-0.00265094		
0.02 	 0.999947	-0.00530176		0.999947	-0.00530173		0.999947	-0.00530173		
0.03 	 0.999881	-0.00795235		0.999881	-0.00795229		0.999881	-0.00795229		
0.04 	 0.999788	-0.0106026		0.999788	-0.0106025		0.999788	-0.0106025		
0.05 	 0.999669	-0.0132524		0.999669	-0.0132522		0.999669	-0.0132522		
0.06 	 0.999523	-0.0159015		0.999523	-0.0159014		0.999523	-0.0159014		
0.07 	 0.999351	-0.01855		0.999351	-0.0185498		0.999351	-0.0185498		
0.08 	 0.999152	-0.0211977		0.999152	-0.0211975		0.999152	-0.0211975		
0.09 	 0.998927	-0.0238444		0.998927	-0.0238441		0.998927	-0.0238441		
0.1 	 0.998675	-0.02649		0.998675	-0.0264898		0.998675	-0.0264898		
0.11 	 0.998397	-0.0291345		0.998397	-0.0291342		0.998397	-0.0291342		
0.12 	 0.998092	-0.0317777		0.998092	-0.0317774		0.998092	-0.0317774		
0.13 	 0.997761	-0.0344195		0.997761	-0.0344192		0.997761	-0.0344192		
0.14 	 0.997404	-0.0370598		0.997404	-0.0370594		0.997404	-0.0370594		
0.15 	 0.99702	-0.0396984		0.99702	-0.039698		0.99702	-0.039698		
0.16 	 0.99661	-0.0423353		0.99661	-0.0423349		0.99661	-0.0423349		
0.17 	 0.996173	-0.0449703		0.996173	-0.0449699		0.996173	-0.0449699		
0.18 	 0.995711	-0.0476034		0.995711	-0.0476029		0.995711	-0.0476029		
0.19 	 0.995221	-0.0502343		0.995221	-0.0502338		0.995221	-0.0502338		
0.2 	 0.994706	-0.052863		0.994706	-0.0528625		0.994706	-0.0528625		
0.21 	 0.994164	-0.0554894		0.994164	-0.0554889		0.994164	-0.0554889		
0.22 	 0.993596	-0.0581134		0.993596	-0.0581128		0.993596	-0.0581128		
0.23 	 0.993002	-0.0607348		0.993002	-0.0607342		0.993002	-0.0607342		
0.24 	 0.992381	-0.0633535		0.992381	-0.0633529		0.992382	-0.0633529		
0.25 	 0.991735	-0.0659695		0.991735	-0.0659688		0.991735	-0.0659688		
0.26 	 0.991062	-0.0685826		0.991062	-0.0685819		0.991062	-0.0685819		
0.27 	 0.990363	-0.0711926		0.990363	-0.0711919		0.990363	-0.0711919		
0.28 	 0.989638	-0.0737996		0.989638	-0.0737988		0.989638	-0.0737988		
0.29 	 0.988887	-0.0764033		0.988887	-0.0764025		0.988887	-0.0764025		
0.3 	 0.98811	-0.0790037		0.98811	-0.0790029		0.98811	-0.0790029		
0.31 	 0.987307	-0.0816006		0.987307	-0.0815998		0.987307	-0.0815998		
0.32 	 0.986478	-0.084194		0.986478	-0.0841932		0.986478	-0.0841932		
0.33 	 0.985623	-0.0867837		0.985623	-0.0867828		0.985623	-0.0867828		
