3.08	-0.874996
3.09	-0.89553
3.1	-0.915974
3.11	-0.936326
3.12	-0.956585
3.13	-0.976748
3.14	-0.996813
3.15	-1.01678
3.16	-1.03664
3.17	-1.0564
3.18	-1.07606
3.19	-1.09561
3.2	-1.11504
3.21	-1.13437
3.22	-1.15358
3.23	-1.17268
3.24	-1.19166
3.25	-1.21052
3.26	-1.22926
3.27	-1.24788
3.28	-1.26637
3.29	-1.28473
3.3	-1.30297
3.31	-1.32108
3.32	-1.33905
3.33	-1.35689
3.34	-1.3746
3.35	-1.39217
3.36	-1.40959
3.37	-1.42688
3.38	-1.44403
3.39	-1.46103
3.4	-1.47788
3.41	-1.49459
3.42	-1.51114
3.43	-1.52755
3.44	-1.5438
3.45	-1.5599
3.46	-1.57584
3.47	-1.59163
3.48	-1.60725
3.49	-1.62272
3.5	-1.63802
3.51	-1.65316
3.52	-1.66814
3.53	-1.68294
3.54	-1.69758
3.55	-1.71205
3.56	-1.72635
3.57	-1.74047
3.58	-1.75442
3.59	-1.7682
3.6	-1.7818
3.61	-1.79522
3.62	-1.80846
3.63	-1.82152
3.64	-1.8344
3.65	-1.84709
3.66	-1.8596
3.67	-1.87193
3.68	-1.88407
3.69	-1.89601
3.7	-1.90777
3.71	-1.91934
3.72	-1.93072
3.73	-1.9419
3.74	-1.95289
3.75	-1.96368
3.76	-1.97428
3.77	-1.98468
3.78	-1.99488
3.79	-2.00488
3.8	-2.01468
3.81	-2.02428
3.82	-2.03368
3.83	-2.04287
3.84	-2.05186
3.85	-2.06065
3.86	-2.06923
3.87	-2.0776
3.88	-2.08576
3.89	-2.09372
3.9	-2.10146
3.91	-2.109
3.92	-2.11633
3.93	-2.12344
3.94	-2.13034
3.95	-2.13703
3.96	-2.1435
3.97	-2.14976
3.98	-2.15581
3.99	-2.16164
4	-2.16725
4.01	-2.17265
4.02	-2.17782
4.03	-2.18279
4.04	-2.18753
4.05	-2.19205
4.06	-2.19636
4.07	-2.20044
4.08	-2.20431
4.09	-2.20795
4.1	-2.21138
4.11	-2.21458
4.12	-2.21756
4.13	-2.22032
4.14	-2.22286
4.15	-2.22518
4.16	-2.22727
4.17	-2.22914
4.18	-2.23079
4.19	-2.23221
4.2	-2.23341
4.21	-2.23439
4.22	-2.23514
4.23	-2.23568
4.24	-2.23598
4.25	-2.23607
4.26	-2.23593
4.27	-2.23556
4.28	-2.23498
4.29	-2.23417
4.3	-2.23313
4.31	-2.23187
4.32	-2.23039
4.33	-2.22869
4.34	-2.22676
4.35	-2.22461
4.36	-2.22224
4.37	-2.21965
4.38	-2.21683
4.39	-2.2138
4.4	-2.21054
4.41	-2.20706
4.42	-2.20336
4.43	-2.19944
4.44	-2.19529
4.45	-2.19093
4.46	-2.18636
4.47	-2.18156
4.48	-2.17654
4.49	-2.17131
4.5	-2.16586
4.51	-2.16019
4.52	-2.1543
4.53	-2.14821
4.54	-2.14189
4.55	-2.13536
4.56	-2.12862
4.57	-2.12167
4.58	-2.1145
4.59	-2.10712
4.6	-2.09953
4.61	-2.09174
4.62	-2.08373
4.63	-2.07551
4.64	-2.06709
4.65	-2.05846
4.66	-2.04962
4.67	-2.04058
4.68	-2.03133
