0.01	1	2.02136	
0.02	1.02016	2.01125	
0.03	1.04022	2.00095	
0.04	1.06018	1.99045	
0.05	1.08003	1.97975	
0.06	1.09978	1.96885	
0.07	1.11941	1.95775	
0.08	1.13893	1.94646	
0.09	1.15834	1.93498	
0.1	1.17763	1.9233	
0.11	1.1968	1.91142	
0.12	1.21586	1.89936	
0.13	1.23479	1.88711	
0.14	1.2536	1.87467	
0.15	1.27228	1.86204	
0.16	1.29084	1.84922	
0.17	1.30926	1.83622	
0.18	1.32756	1.82304	
0.19	1.34572	1.80967	
0.2	1.36375	1.79612	
0.21	1.38164	1.7824	
0.22	1.3994	1.76849	
0.23	1.41701	1.75441	
0.24	1.43449	1.74015	
0.25	1.45182	1.72572	
0.26	1.469	1.71112	
0.27	1.48604	1.69634	
0.28	1.50293	1.6814	
0.29	1.51966	1.66628	
0.3	1.53625	1.651	
0.31	1.55268	1.63556	
0.32	1.56896	1.61995	
0.33	1.58508	1.60418	
0.34	1.60104	1.58825	
0.35	1.61685	1.57216	
0.36	1.63249	1.55591	
0.37	1.64796	1.53951	
0.38	1.66328	1.52295	
0.39	1.67842	1.50625	
0.4	1.6934	1.48939	
0.41	1.70821	1.47238	
0.42	1.72285	1.45522	
0.43	1.73731	1.43792	
0.44	1.7516	1.42048	
0.45	1.76572	1.40289	
0.46	1.77966	1.38516	
0.47	1.79342	1.3673	
0.48	1.80701	1.3493	
0.49	1.82041	1.33116	
0.5	1.83363	1.31289	
0.51	1.84667	1.29449	
0.52	1.85952	1.27596	
0.53	1.87218	1.2573	
0.54	1.88466	1.23851	
0.55	1.89695	1.21961	
0.56	1.90906	1.20058	
0.57	1.92097	1.18143	
0.58	1.93268	1.16216	
0.59	1.94421	1.14277	
0.6	1.95554	1.12327	
0.61	1.96667	1.10366	
0.62	1.97761	1.08394	
0.63	1.98835	1.06411	
0.64	1.99889	1.04418	
0.65	2.00923	1.02414	
0.66	2.01937	1.00399	
0.67	2.02931	0.983749	
0.68	2.03905	0.963407	
0.69	2.04858	0.942969	
0.7	2.05791	0.922437	
0.71	2.06703	0.901812	
0.72	2.07594	0.881097	
0.73	2.08465	0.860294	
0.74	2.09315	0.839405	
0.75	2.10144	0.818432	
0.76	2.10952	0.797378	
0.77	2.11739	0.776243	
0.78	2.12504	0.755031	
0.79	2.13249	0.733743	
0.8	2.13972	0.712382	
0.81	2.14673	0.69095	
0.82	2.15354	0.669449	
0.83	2.16012	0.64788	
0.84	2.16649	0.626247	
0.85	2.17265	0.604552	
0.86	2.17858	0.582795	
0.87	2.1843	0.560981	
0.88	2.1898	0.53911	
0.89	2.19508	0.517186	
0.9	2.20015	0.49521	
0.91	2.20499	0.473184	
0.92	2.20961	0.451111	
0.93	2.21401	0.428993	
0.94	2.21819	0.406832	
0.95	2.22215	0.38463	
0.96	2.22588	0.36239	
0.97	2.22939	0.340114	
0.98	2.23268	0.317804	
0.99	2.23575	0.295461	
1	2.23859	0.27309	
1.01	2.24121	0.250691	
1.02	2.24361	0.228267	
1.03	2.24578	0.20582	
1.04	2.24772	0.183352	
1.05	2.24944	0.160866	
1.06	2.25094	0.138364	
1.07	2.25221	0.115849	
1.08	2.25326	0.0933212	
1.09	2.25408	0.0707846	
1.1	2.25467	0.0482408	
1.11	2.25504	0.0256922	
1.12	2.25519	0.00314109	
1.13	2.25511	-0.0194104	
1.14	2.2548	-0.0419599	
1.15	2.25427	-0.0645052	
1.16	2.25351	-0.0870441	
1.17	2.25253	-0.109574	
1.18	2.25132	-0.132093	
1.19	2.24988	-0.154599	
1.2	2.24822	-0.17709	
1.21	2.24634	-0.199563	
1.22	2.24423	-0.222016	
1.23	2.2419	-0.244446	
1.24	2.23934	-0.266853	
1.25	2.23656	-0.289232	
1.26	2.23356	-0.311583	
1.27	2.23033	-0.333902	
1.28	2.22688	-0.356188	
1.29	2.22321	-0.378439	
1.3	2.21931	-0.400651	
1.31	2.2152	-0.422824	
1.32	2.21086	-0.444954	
1.33	2.2063	-0.46704	
1.34	2.20152	-0.489079	
1.35	2.19652	-0.511069	
1.36	2.1913	-0.533008	
1.37	2.18586	-0.554894	
1.38	2.1802	-0.576724	
1.39	2.17432	-0.598497	
1.4	2.16823	-0.62021	
1.41	2.16192	-0.64186	
1.42	2.15539	-0.663447	
1.43	2.14865	-0.684967	
1.44	2.14169	-0.706419	
1.45	2.13452	-0.7278	
1.46	2.12714	-0.749108	
1.47	2.11954	-0.770342	
1.48	2.11173	-0.791498	
1.49	2.10371	-0.812575	
1.5	2.09548	-0.833571	
1.51	2.08704	-0.854484	
1.52	2.07839	-0.875311	
1.53	2.06953	-0.89605	
1.54	2.06047	-0.916701	
1.55	2.0512	-0.937259	
1.56	2.04173	-0.957723	
1.57	2.03205	-0.978092	
1.58	2.02216	-0.998363	
1.59	2.01208	-1.01853	
1.6	2.00179	-1.0386	
1.61	1.99131	-1.05857	
1.62	1.98062	-1.07843	
1.63	1.96974	-1.09818	
1.64	1.95866	-1.11782	
1.65	1.94738	-1.13735	
1.66	1.93591	-1.15677	
1.67	1.92425	-1.17607	
1.68	1.91239	-1.19525	
1.69	1.90034	-1.21432	
1.7	1.88811	-1.23326	
1.71	1.87568	-1.25208	
1.72	1.86307	-1.27077	
1.73	1.85026	-1.28934	
1.74	1.83728	-1.30778	
1.75	1.82411	-1.32608	
1.76	1.81076	-1.34426	
1.77	1.79723	-1.3623	
1.78	1.78351	-1.3802	
1.79	1.76962	-1.39797	
1.8	1.75555	-1.41559	
1.81	1.74131	-1.43308	
